Annapolis,38.9706,-76.5047,40744
Annapolis,37.3605,-90.6975,443
Annapolis,39.1431,-87.8172,51
Annapolis Neck,38.9409,-76.4997,12484
Annawan,41.3958,-89.8882,955
Annetta,32.6938,-97.6581,3172
Annetta North,32.7193,-97.6722,524
Annetta South,32.6743,-97.6482,752
Annex,44.2346,-116.9922,304
Anniston,33.6712,-85.8135,76228
Anniston,36.8243,-89.3267,262
Annona,33.5818,-94.9131,249
Annville,37.3254,-83.9621,1175
Anoka,45.2099,-93.3893,17941
Anoka,40.722,-86.2825,400
Anoka,42.946,-98.8285,42
Anon Raices,18.1389,-66.5856,312
Anselmo,41.6186,-99.8645,90
Ansley,41.2863,-99.3825,605
Anson,32.755,-99.8963,1765
Ansonia,41.3443,-73.0689,18951
Ansonia,40.2141,-84.6344,1036
Ansonville,35.1041,-80.1097,578
Ansted,38.1356,-81.1038,1210
Antares,35.4229,-113.8083,140
Antelope,38.7153,-121.361,49080
Antelope,43.3087,-100.6306,610
Antelope,44.9113,-120.7236,61
Antelope,48.6897,-104.454,0
Antelope Hills,43.0813,-106.3117,0
Anthem,33.856,-112.1168,22622
Anthon,42.3881,-95.8656,488
Anthony,32.0131,-106.5984,8701
Anthony,31.9876,-106.5933,3727
Anthony,37.1588,-98.0418,2228
Anthonyville,35.0398,-90.3403,82
Anthoston,37.7553,-87.5327,242
Antietam,39.4151,-77.7364,51
Antigo,45.141,-89.1552,8058
Antimony,38.103,-111.9823,82
Antioch,37.9787,-121.796,333347
Antioch,42.4742,-88.0721,14751
Antioch,32.679,-85.0577,769
Antioch,40.2273,-86.5056,182
Antioch,39.661,-81.0669,46
Antler,48.9713,-101.2832,17
Antlers,34.2329,-95.6229,2341
Antoine,34.0346,-93.4226,167
Anton,33.8113,-102.1622,1121
